inlet_temp_c,outlet_temp_c,power_kw,airflow_cfm,humidity_pct,cpu_util_pct,anomaly,is_train,timestamp
0.032258,0.039195,0.027871,0.02439,0.0,0.915385,0,1,2026-01-01 00:00:00
0.043011,0.048729,0.033445,0.025552,0.0,0.915385,0,1,2026-01-01 00:05:00
0.043011,0.034958,0.03233,0.025552,0.0,0.915385,0,1,2026-01-01 00:10:00
0.032258,0.028602,0.0301,0.02439,0.0,0.912821,0,1,2026-01-01 00:15:00
0.032258,0.019068,0.026756,0.023229,0.0,0.912821,0,1,2026-01-01 00:20:00
0.043011,0.007415,0.021182,0.022067,0.0,0.917949,0,1,2026-01-01 00:25:00
0.043011,0.014831,0.018952,0.019744,0.0,0.917949,0,1,2026-01-01 00:30:00
0.043011,0.019068,0.018952,0.019744,0.0,0.915385,0,1,2026-01-01 00:35:00
0.043011,0.025424,0.021182,0.019744,0.0,0.915385,0,1,2026-01-01 00:40:00
0.043011,0.026483,0.022297,0.022067,0.0,0.915385,0,1,2026-01-01 00:45:00
0.043011,0.01589,0.018952,0.019744,0.0,0.912821,0,1,2026-01-01 00:50:00
0.043011,0.021186,0.018952,0.019744,0.0,0.912821,0,1,2026-01-01 00:55:00
0.043011,0.033898,0.022297,0.019744,0.0,0.912821,0,1,2026-01-01 01:00:00
0.043011,0.018008,0.017837,0.018583,0.0,0.912821,0,1,2026-01-01 01:05:00
0.032258,0.006356,0.013378,0.017422,0.0,0.912821,0,1,2026-01-01 01:10:00
0.043011,0.021186,0.015608,0.017422,0.0,0.912821,0,1,2026-01-01 01:15:00
0.043011,0.034958,0.020067,0.018583,0.0,0.912821,0,1,2026-01-01 01:20:00
0.043011,0.016949,0.016722,0.01626,0.0,0.907692,0,1,2026-01-01 01:25:00
0.032258,0.013771,0.014493,0.015099,0.0,0.910256,0,1,2026-01-01 01:30:00
0.032258,0.029661,0.018952,0.01626,0.0,0.912821,0,1,2026-01-01 01:35:00
0.021505,0.055085,0.024526,0.018583,0.0,0.912821,0,1,2026-01-01 01:40:00
0.032258,0.036017,0.024526,0.018583,0.0,0.912821,0,1,2026-01-01 01:45:00
0.032258,0.023305,0.022297,0.017422,0.0,0.912821,0,1,2026-01-01 01:50:00
0.032258,0.034958,0.024526,0.018583,0.0,0.912821,0,1,2026-01-01 01:55:00
0.032258,0.043432,0.0301,0.019744,0.0,0.910256,0,1,2026-01-01 02:00:00
0.032258,0.034958,0.027871,0.019744,0.0,0.912821,0,1,2026-01-01 02:05:00
0.032258,0.023305,0.026756,0.019744,0.0,0.912821,0,1,2026-01-01 02:10:00
0.032258,0.032839,0.027871,0.019744,0.0,0.912821,0,1,2026-01-01 02:15:00
0.043011,0.032839,0.026756,0.019744,0.0,0.910256,0,1,2026-01-01 02:20:00
0.032258,0.029661,0.026756,0.019744,0.0,0.912821,0,1,2026-01-01 02:25:00
0.043011,0.027542,0.026756,0.019744,0.0,0.912821,0,1,2026-01-01 02:30:00
0.032258,0.013771,0.022297,0.019744,0.0,0.912821,0,1,2026-01-01 02:35:00
